dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
beauty,0.003,0.2,2,ndcg@5,0.018199999999999997,0.0004358898943540687,3,0.04075384255976492,0.0011070041490151067
beauty,0.003,0.2,2,recall@10,0.048133333333333334,0.0022501851775650213,3,0.04075384255976492,0.0011070041490151067
beauty,0.003,0.2,2,recall@20,0.0767,0.002078460969082648,3,0.04075384255976492,0.0011070041490151067
beauty,0.003,0.2,2,recall@5,0.028800000000000003,0.0008717797887081347,3,0.04075384255976492,0.0011070041490151067
beauty,0.003,0.5,2,ndcg@10,0.027,0.0011532562594670798,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.5,2,ndcg@20,0.03423333333333333,0.0014153915830374788,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.5,2,ndcg@5,0.0203,0.0012489995996796794,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.5,2,recall@10,0.0521,0.001252996408614168,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.5,2,recall@20,0.0811,0.002882707061079913,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.5,2,recall@5,0.031233333333333335,0.001484362938547488,3,0.04498242877600251,0.000811672358030991
beauty,0.003,0.8,2,ndcg@10,0.019100000000000002,0.0013892443989449801,3,0.03266834045299643,0.001977852892129126
beauty,0.003,0.8,2,ndcg@20,0.02413333333333333,0.001484362938547488,3,0.03266834045299643,0.001977852892129126
beauty,0.003,0.8,2,ndcg@5,0.0146,0.0010816653826391965,3,0.03266834045299643,0.001977852892129126
beauty,0.003,0.8,2,recall@10,0.03673333333333333,0.002635020556529557,3,0.03266834045299643,0.001977852892129126
beauty,0.003,0.8,2,recall@20,0.05686666666666667,0.0027024680078279063,3,0.03266834045299643,0.001977852892129126
beauty,0.003,0.8,2,recall@5,0.022766666666666668,0.001474222959166399,3,0.03266834045299643,0.001977852892129126
sports_and_outdoors,0.0003,0.2,2,ndcg@10,0.017866666666666666,0.0013316656236958778,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.2,2,ndcg@20,0.022133333333333335,0.0011239810200058247,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.2,2,ndcg@5,0.013833333333333335,0.0011590225767142473,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.2,2,recall@10,0.033966666666666666,0.0017925772879665014,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.2,2,recall@20,0.050833333333333335,0.0011547005383792486,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.2,2,recall@5,0.021433333333333332,0.0011930353445448853,3,0.02826440002556663,0.000191619463406233
sports_and_outdoors,0.0003,0.5,2,ndcg@10,0.019433333333333334,0.0008020806277010647,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.5,2,ndcg@20,0.023933333333333334,0.000763762615825974,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.5,2,ndcg@5,0.015300000000000001,0.0007549834435270747,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.5,2,recall@10,0.036533333333333334,0.0012897028081435414,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.5,2,recall@20,0.054299999999999994,0.001389244398944982,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.5,2,recall@5,0.023533333333333333,0.0010969655114602896,3,0.030143152119093335,0.00039172571435414294
sports_and_outdoors,0.0003,0.8,2,ndcg@10,0.013433333333333334,0.006987369557518289,3,0.02178447631367345,0.010173380355123413
sports_and_outdoors,0.0003,0.8,2,ndcg@20,0.017133333333333334,0.008122397018942951,3,0.02178447631367345,0.010173380355123413
sports_and_outdoors,0.0003,0.8,2,ndcg@5,0.0106,0.005483611948342078,3,0.02178447631367345,0.010173380355123413
sports_and_outdoors,0.0003,0.8,2,recall@10,0.02476666666666667,0.013169029323884633,3,0.02178447631367345,0.010173380355123413
sports_and_outdoors,0.0003,0.8,2,recall@20,0.0395,0.01773048222694465,3,0.02178447631367345,0.010173380355123413
