dataset,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
sports_and_outdoors,0.01,0.01,n_visited_items,4179.7255859375,29.266700150536547,3,0.02456929472585519,0.0002576311166014837
sports_and_outdoors,0.01,0.01,ndcg@10,0.018250275403261185,0.0003288151667007924,3,0.02456929472585519,0.0002576311166014837
sports_and_outdoors,0.01,0.01,ndcg@5,0.014276428458591303,0.00016786629845346625,3,0.02456929472585519,0.0002576311166014837
sports_and_outdoors,0.01,0.01,recall@10,0.033681667099396385,0.0005425355392238557,3,0.02456929472585519,0.0002576311166014837
sports_and_outdoors,0.01,0.01,recall@5,0.02125587562719981,0.00022706075233773658,3,0.02456929472585519,0.0002576311166014837
sports_and_outdoors,0.01,0.03,n_visited_items,4235.57958984375,19.582191696438052,3,0.026326751957337063,0.0004384423238297092
sports_and_outdoors,0.01,0.03,ndcg@10,0.01967051314810912,0.0008837733847959138,3,0.026326751957337063,0.0004384423238297092
sports_and_outdoors,0.01,0.03,ndcg@5,0.015383295714855194,0.0007224761801948235,3,0.026326751957337063,0.0004384423238297092
sports_and_outdoors,0.01,0.03,recall@10,0.036415902276833854,0.0012354921832357472,3,0.026326751957337063,0.0004384423238297092
sports_and_outdoors,0.01,0.03,recall@5,0.023044365768631298,0.0007751077631331459,3,0.026326751957337063,0.0004384423238297092
sports_and_outdoors,0.01,0.07,n_visited_items,4219.7001953125,27.907737615390992,3,0.02537594425181548,0.0013738907040105788
sports_and_outdoors,0.01,0.07,ndcg@10,0.018781142309308052,0.001790307672145824,3,0.02537594425181548,0.0013738907040105788
sports_and_outdoors,0.01,0.07,ndcg@5,0.014661965270837149,0.001700195853209628,3,0.02537594425181548,0.0013738907040105788
sports_and_outdoors,0.01,0.07,recall@10,0.03473041703303655,0.002901092694904573,3,0.02537594425181548,0.0013738907040105788
sports_and_outdoors,0.01,0.07,recall@5,0.021873888249198597,0.0025546771481855133,3,0.02537594425181548,0.0013738907040105788
toys_and_games,0.0003,0.01,n_visited_items,5184.898763020833,7.695190155037844,3,0.060826790829499565,0.0003375400732068117
toys_and_games,0.0003,0.01,ndcg@10,0.045339678724606834,0.0003896926581997977,3,0.060826790829499565,0.0003375400732068117
toys_and_games,0.0003,0.01,ndcg@5,0.036580923944711685,0.00024714810790044524,3,0.060826790829499565,0.0003375400732068117
toys_and_games,0.0003,0.01,recall@10,0.08283535887797673,0.00111799762621969,3,0.060826790829499565,0.0003375400732068117
toys_and_games,0.0003,0.01,recall@5,0.05560134599606196,0.0005508282177511926,3,0.060826790829499565,0.0003375400732068117
toys_and_games,0.0003,0.03,n_visited_items,5148.20166015625,4.707168285860203,3,0.05950053160389265,0.000680777063165273
toys_and_games,0.0003,0.03,ndcg@10,0.04363189513484637,0.0005765227376658929,3,0.05950053160389265,0.000680777063165273
toys_and_games,0.0003,0.03,ndcg@5,0.035425266871849694,0.00046065179302747677,3,0.05950053160389265,0.000680777063165273
toys_and_games,0.0003,0.03,recall@10,0.07895459731419881,0.0014986490760310392,3,0.05950053160389265,0.000680777063165273
toys_and_games,0.0003,0.03,recall@5,0.053386220087607704,0.0009696960933354241,3,0.05950053160389265,0.000680777063165273
