dataset,m,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
pet_supplies,32,0.001,0.05,recall@10,0.06268466264009476,0.00048393724686987956,3,0.04543874536951383,0.00037822885134686143
pet_supplies,32,0.001,0.05,recall@5,0.04159951706727346,0.0002307906238925525,3,0.04543874536951383,0.00037822885134686143
pet_supplies,32,0.001,0.07,n_visited_items,4263.271809895833,6.9115235632947085,3,0.04526278376579285,0.0003104027793771283
pet_supplies,32,0.001,0.07,ndcg@10,0.03486306220293045,0.0005078508306066003,3,0.04526278376579285,0.0003104027793771283
pet_supplies,32,0.001,0.07,ndcg@5,0.028109213337302208,0.0006897961132371715,3,0.04526278376579285,0.0003104027793771283
pet_supplies,32,0.001,0.07,recall@10,0.062483212600151695,0.0006297017517243886,3,0.04526278376579285,0.0003104027793771283
pet_supplies,32,0.001,0.07,recall@5,0.041381278385718666,0.0006008430042371037,3,0.04526278376579285,0.0003104027793771283
pet_supplies,32,0.003,0.03,n_visited_items,4360.443684895833,31.035523935024084,3,0.04588932419816653,0.00045623102351255657
pet_supplies,32,0.003,0.03,ndcg@10,0.036569600303967796,0.0006504913606494208,3,0.04588932419816653,0.00045623102351255657
pet_supplies,32,0.003,0.03,ndcg@5,0.029508069157600403,0.0009126526502992679,3,0.04588932419816653,0.00045623102351255657
pet_supplies,32,0.003,0.03,recall@10,0.06550497064987819,0.0008280523929114936,3,0.04588932419816653,0.00045623102351255657
pet_supplies,32,0.003,0.03,recall@5,0.04358044515053431,0.0013610343005158677,3,0.04588932419816653,0.00045623102351255657
pet_supplies,32,0.003,0.05,n_visited_items,4330.736653645833,14.382807844728639,3,0.045503043880065284,0.00015433889082611157
pet_supplies,32,0.003,0.05,ndcg@10,0.036346507569154106,0.0002398273829194547,3,0.045503043880065284,0.00015433889082611157
pet_supplies,32,0.003,0.05,ndcg@5,0.02944275053838889,0.0002774655338226323,3,0.045503043880065284,0.00015433889082611157
pet_supplies,32,0.003,0.05,recall@10,0.06456486880779266,0.0003525391221046448,3,0.045503043880065284,0.00015433889082611157
pet_supplies,32,0.003,0.05,recall@5,0.04316075767079989,0.0002804068671065973,3,0.045503043880065284,0.00015433889082611157
pet_supplies,32,0.003,0.07,n_visited_items,4251.617838541667,3.9694687300154863,3,0.045415740460157394,0.00017914894354728827
pet_supplies,32,0.003,0.07,ndcg@10,0.035262275487184525,0.00039995464032344715,3,0.045415740460157394,0.00017914894354728827
pet_supplies,32,0.003,0.07,ndcg@5,0.02853323829670747,0.00036624148358724117,3,0.045415740460157394,0.00017914894354728827
pet_supplies,32,0.003,0.07,recall@10,0.06290290132164955,0.0008952678911833681,3,0.045415740460157394,0.00017914894354728827
pet_supplies,32,0.003,0.07,recall@5,0.04191848014791807,0.0004193526929482635,3,0.045415740460157394,0.00017914894354728827
pet_supplies,32,0.01,0.03,n_visited_items,4293.403971354167,64.50054423955244,3,0.0453299880027771,0.0011657955298910187
pet_supplies,32,0.01,0.03,ndcg@10,0.03596544141570727,0.0010817976267537353,3,0.0453299880027771,0.0011657955298910187
pet_supplies,32,0.01,0.03,ndcg@5,0.02877070816854636,0.000961493377968924,3,0.0453299880027771,0.0011657955298910187
pet_supplies,32,0.01,0.03,recall@10,0.06493419408798218,0.0015119959824657534,3,0.0453299880027771,0.0011657955298910187
pet_supplies,32,0.01,0.03,recall@5,0.042522831509510674,0.0011985168536683668,3,0.0453299880027771,0.0011657955298910187
pet_supplies,32,0.01,0.05,n_visited_items,4225.3310546875,73.19115360857924,3,0.043796297162771225,0.001992473643558594
pet_supplies,32,0.01,0.05,ndcg@10,0.03352755680680275,0.0028237982925315326,3,0.043796297162771225,0.001992473643558594
pet_supplies,32,0.01,0.05,ndcg@5,0.026881457616885502,0.0024244725975025496,3,0.043796297162771225,0.001992473643558594
pet_supplies,32,0.01,0.05,recall@10,0.060367981592814125,0.00467757988247324,3,0.043796297162771225,0.001992473643558594
pet_supplies,32,0.01,0.05,recall@5,0.03965216130018234,0.0034173664992012353,3,0.043796297162771225,0.001992473643558594
pet_supplies,32,0.01,0.07,n_visited_items,4025.968017578125,140.38462929911614,3,0.0360111358265082,0.0068563354874378426
pet_supplies,32,0.01,0.07,ndcg@10,0.028241916249195736,0.005141051584406872,3,0.0360111358265082,0.0068563354874378426
pet_supplies,32,0.01,0.07,ndcg@5,0.02236344541112582,0.004048382968110678,3,0.0360111358265082,0.0068563354874378426
pet_supplies,32,0.01,0.07,recall@10,0.05125235145290693,0.009044166684421475,3,0.0360111358265082,0.0068563354874378426
pet_supplies,32,0.01,0.07,recall@5,0.03293714734415213,0.005635888704676372,3,0.0360111358265082,0.0068563354874378426
pet_supplies,64,0.001,0.03,n_visited_items,4833.2470703125,4.4416085149359095,3,0.04446949933966001,9.533787010611061e-05
